epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,2.164314,2.076048,9.9462,0.0464
2,2.176106,2.057198,6.4516,0.0294
3,2.147342,2.057404,10.2151,0.0533
4,2.131892,2.045962,8.6022,0.0362
5,2.114904,2.044661,5.9140,0.0309
6,2.104795,2.034157,7.2581,0.0371
7,2.114199,2.027943,5.6452,0.0390
8,2.109606,2.012005,10.7527,0.0390
9,2.101613,2.026917,10.4839,0.0523
10,2.106095,2.011379,7.2581,0.0319
