epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,2.126736,2.099229,9.4086,0.0607
2,2.103614,2.079487,9.4086,0.0453
3,2.054489,2.057236,10.7527,0.0612
4,2.027088,2.044277,11.8280,0.0553
5,1.982185,2.032522,14.7849,0.0611
6,1.963859,2.018568,12.3656,0.0709
7,1.943946,2.014663,14.2473,0.0538
8,1.930638,1.988428,15.0538,0.0528
9,1.889727,1.984599,12.3656,0.0522
10,1.863905,1.964388,12.9032,0.0596
11,1.831771,1.960156,14.7849,0.0458
12,1.812213,1.937848,13.1720,0.0657
13,1.799388,1.925119,15.3226,0.0627
